City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
630,Cam Ranh,VN,82.4,scattered clouds,11.92,109.16,OYO 598 Peony Hotel
634,Inongo,CD,76.46,overcast clouds,-1.95,18.27,Hotel Du Lac
637,Shanghai,CN,71.01,shower rain,31.22,121.46,Regal International East Asia
639,Mahebourg,MU,71.6,few clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
640,Darnah,LY,84.69,light rain,32.77,22.64,زاوية الرفاعي
644,Lazaro Cardenas,MX,84.42,overcast clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
649,Bannu,PK,80.38,clear sky,32.99,70.6,Aamir Hotel Bannu
651,Sidhi,IN,78.57,light rain,24.42,81.88,Kamdhenu Sweets
654,Abu Dhabi,AE,89.6,clear sky,24.47,54.37,Beach Rotana
655,Abu Zabad,SD,88.0,scattered clouds,12.35,29.25,محي الدين نوري
659,Alanya,TR,75.2,few clouds,36.54,32.0,Panorama Hotel
660,Pyu,MM,76.19,light rain,18.48,96.43,Phyu Post Office
661,Chalus,IR,73.4,scattered clouds,36.66,51.42,نظام مهندسي ساختمان چالوس
662,Mogadishu,SO,78.78,scattered clouds,2.04,45.34,Hotel Juba
664,Ruwi,OM,89.6,clear sky,23.6,58.55,Al Falaj Hotel
666,Casas Grandes,MX,81.0,few clouds,30.37,-107.95,PUEBLO DEL SOuL
668,Gorontalo,ID,75.99,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
670,San Policarpo,PH,79.16,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
672,Tamboril,DO,89.6,broken clouds,19.49,-70.61,Camp David Ranch Restaurant
673,Union City,US,81.0,smoke,37.6,-122.02,Holiday Inn Express Union City (San Jose)
674,Biak,ID,76.75,overcast clouds,-0.91,122.88,Kost Ariz
675,Dwarka,IN,81.84,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
677,Dhidhdhoo,MV,81.84,scattered clouds,6.88,73.1,Dhidhoo beach
684,Nara,JP,72.0,overcast clouds,34.69,135.8,Guesthouse Nara Komachi
688,Ranong,TH,77.52,light rain,9.97,98.63,Tinidee Hotel@Ranong
696,Jiazi,CN,76.89,light rain,22.88,116.07,Hotel Jin Hao
697,Kalianget,ID,82.35,broken clouds,-7.05,113.93,Pesanggrahan Garam
698,Gasa,PS,78.8,few clouds,31.5,34.47,رابطة الفنانين الفلسطينيين
700,Hit,IQ,83.5,clear sky,33.64,42.83,Aboody Alhachem
