City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
274,Agadir,30.42,-9.6,64.4,88,0,2.64,MA,2020-09-30 00:56:57
275,Sitka,57.05,-135.33,53.6,81,90,8.05,US,2020-09-30 00:48:46
276,Bhum,18.47,75.67,70.86,83,91,6.96,IN,2020-09-30 00:56:58
277,Aripuana,-9.17,-60.63,76.84,72,26,0.92,BR,2020-09-30 00:56:58
278,Gushikawa,26.35,127.87,82.4,78,75,9.17,JP,2020-09-30 00:56:58
279,Talara,-4.58,-81.27,61.97,88,8,12.75,PE,2020-09-30 00:56:59
280,Rio Gallegos,-51.62,-69.22,35.6,64,20,26.4,AR,2020-09-30 00:46:54
281,Santa Cruz,-17.8,-63.17,77.0,65,0,10.29,BO,2020-09-30 00:48:03
282,Dzhebariki-Khaya,62.22,135.8,39.42,86,100,5.06,RU,2020-09-30 00:56:59
283,Pozo Colorado,-23.49,-58.8,89.11,35,0,8.1,PY,2020-09-30 00:50:35
284,Bonthe,7.53,-12.51,77.27,90,77,4.83,SL,2020-09-30 00:57:00
285,Tutoia,-2.76,-42.27,79.43,80,69,13.15,BR,2020-09-30 00:49:53
286,Doka,13.52,35.77,73.2,91,9,7.83,SD,2020-09-30 00:57:00
287,Anadyr,64.75,177.48,44.6,75,20,11.18,RU,2020-09-30 00:57:01
288,Luderitz,-26.65,15.16,56.95,58,0,20.98,NA,2020-09-30 00:52:07
289,Zerbst,51.97,12.08,46.99,84,0,4.12,DE,2020-09-30 00:57:01
290,Atar,20.52,-13.05,89.89,28,0,7.87,MR,2020-09-30 00:57:01
291,Sal Rei,16.18,-22.92,78.8,69,40,9.17,CV,2020-09-30 00:57:02
292,Mehamn,71.04,27.85,49.64,86,52,9.4,NO,2020-09-30 00:50:33
293,Lakatoro,-16.1,167.42,82.4,74,40,8.05,VU,2020-09-30 00:57:03
294,Constanza,47.66,9.18,52.0,100,30,0.67,DE,2020-09-30 00:57:03
295,Coihaique,-45.58,-72.07,39.2,51,20,5.82,CL,2020-09-30 00:57:03
296,Zvishavane,-20.33,30.07,64.74,89,100,6.85,ZW,2020-09-30 00:57:04
297,Artyom,40.47,50.33,48.2,76,0,4.7,AZ,2020-09-30 00:57:04
298,Sola,-13.88,167.55,84.2,79,90,5.82,VU,2020-09-30 00:49:26
299,Ngerengere,-6.75,38.12,70.83,84,88,1.68,TZ,2020-09-30 00:57:05
300,Ukiah,39.15,-123.21,89.6,19,90,11.41,US,2020-09-30 00:56:13
301,Egvekinot,66.32,-179.17,33.89,90,98,3.69,RU,2020-09-30 00:48:47
302,Mirnyy,62.54,113.96,23.0,100,100,4.47,RU,2020-09-30 00:57:05
303,Salalah,17.02,54.09,75.2,83,20,4.7,OM,2020-09-30 00:49:15
