City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
238,Acandi,CO,8.51,-77.28,86.31,67,54,3.02,light rain
239,Great Yarmouth,GB,52.61,1.73,55.99,99,100,8.01,light rain
240,Banepa,NP,27.63,85.52,69.8,94,75,4.7,light rain
241,Mata Grande,BR,-9.12,-37.73,90.59,26,58,11.39,broken clouds
242,Santa Cruz,BO,-17.8,-63.17,93.2,30,20,13.87,few clouds
243,San Patricio,MX,19.22,-104.7,84.2,74,5,5.82,clear sky
244,Hofn,IS,64.25,-15.21,48.69,92,100,16.64,light rain
245,Taoudenni,ML,22.68,-3.98,105.19,11,0,12.35,clear sky
246,Tiksi,RU,71.69,128.87,24.84,95,52,20.38,broken clouds
247,Manzhouli,CN,49.6,117.43,39.38,81,100,14.81,overcast clouds
248,Astakos,GR,38.54,21.08,78.8,61,20,5.82,few clouds
249,Hamadan,IR,34.8,48.51,58.77,42,85,3.96,overcast clouds
250,Isangel,VU,-19.55,169.27,70.07,82,14,17.11,few clouds
251,Wawa,NG,9.9,4.42,80.37,81,19,3.85,few clouds
252,Puerto Escondido,MX,15.85,-97.07,84.2,70,40,6.06,scattered clouds
253,Marshall,US,34.38,-86.33,66.99,48,1,3.36,clear sky
254,Blythe,US,33.61,-114.6,78.8,16,1,5.82,clear sky
255,Kaitangata,NZ,-46.28,169.85,57.0,81,99,11.01,moderate rain
256,Mao,ES,39.89,4.27,66.2,45,20,14.99,few clouds
257,Yellowknife,CA,62.46,-114.35,46.4,87,75,16.11,broken clouds
258,Chuy,UY,-33.7,-53.46,55.65,59,58,13.33,broken clouds
259,Zharkent,KZ,44.16,80.0,55.2,39,57,0.98,broken clouds
260,Tevaitoa,PF,-16.78,-151.5,78.98,75,13,19.66,few clouds
261,Bagli,IN,22.65,76.35,73.81,57,79,4.18,broken clouds
262,Port Elizabeth,ZA,-33.92,25.57,59.0,93,20,9.17,few clouds
263,Yulara,AU,-25.24,130.99,78.8,36,90,5.82,overcast clouds
264,Durant,US,33.99,-96.37,72.0,56,1,12.75,clear sky
265,Solnechnyy,RU,50.72,136.63,43.9,92,100,1.92,overcast clouds
266,Doha,QA,25.29,51.53,91.4,63,0,8.05,clear sky
267,Sao Joao Da Barra,BR,-21.64,-41.05,91.4,52,0,11.41,clear sky
268,Kourou,GF,5.16,-52.65,89.6,62,66,12.75,broken clouds
269,San Cristobal,VE,7.77,-72.22,93.2,34,40,6.93,scattered clouds
270,Laguna,US,38.42,-121.42,71.6,68,1,2.86,haze
271,Constitucion,CL,-35.33,-72.42,54.34,57,1,14.74,clear sky
272,Qaanaaq,GL,77.48,-69.36,25.2,87,30,5.88,scattered clouds
273,Bugo,PH,8.51,124.76,77.0,89,59,4.0,broken clouds
274,Vuktyl,RU,63.86,57.31,33.94,88,8,6.82,clear sky
275,Touros,BR,-5.2,-35.46,86.0,51,40,18.34,scattered clouds
276,Half Moon Bay,US,37.46,-122.43,72.0,68,40,2.77,scattered clouds
277,Vila Velha,BR,-20.33,-40.29,91.4,52,0,17.22,clear sky
278,Bandarban,BD,22.2,92.23,76.8,96,100,2.21,moderate rain
279,Labuhan,ID,-6.88,112.21,80.89,75,47,5.61,scattered clouds
280,Norrkoping,SE,58.59,16.18,57.2,87,100,17.22,overcast clouds
281,Pitimbu,BR,-7.47,-34.81,86.0,55,75,16.11,broken clouds
282,Lavrentiya,RU,65.58,-171.0,37.74,83,94,15.66,overcast clouds
283,Deputatskiy,RU,69.3,139.9,23.05,96,100,19.77,light snow
284,Sitrah,BH,26.15,50.62,89.6,66,5,8.05,clear sky
285,Lasa,IT,46.62,10.7,57.99,70,40,8.05,scattered clouds
